Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Pillar Technologies,https://www.crunchbase.com/organization/pillar-technologies,"Real Estate, Data and Analytics, Internet Services, Financial Services","Somerville, Massachusetts, United States",Pillar is a real-time risk management platform for general contractors.,"14,059",Operating,09/29/2015,,1,http://pillar.tech/,https://twitter.com/PillarTechInc,https://www.facebook.com/PillarTechInc,https://www.linkedin.com/company/pillar-technologies-inc,alex@pillar.tech,(860)391-1781,"Insurance, Risk Management, Construction, Internet of Things, Big Data, Analytics",,1-10,07/19/2016,"$425,000","$425,000","$425,000","$425,000",4,-0.2,-0.6,-0.5
Pristine,https://www.crunchbase.com/organization/pristine-io,"Platforms, Manufacturing, Hardware, Consumer Electronics, Software, Financial Services, Mobile","Austin, Texas, United States",Visual collaboration tools for the hands-on workforce to make experts more efficient.,"7,294",Operating,05/15/2013,,4,https://www.pristine.io,https://twitter.com/pristineio,,https://www.linkedin.com/company/pristine-io,hello@pristine.io,(855) 545-3777,"Google Glass, Insurance, Manufacturing, Enterprise Software, Wearables, Mobile",2,11-50,08/08/2016,"$518,126","$5,400,000","$6,150,000","$6,668,126",4,0.2,0.5,-0.6
PRX Control Solutions,https://www.crunchbase.com/organization/prx-consulting,"Software, Health Care, Payments, Privacy and Security, Financial Services","Miami, Florida, United States",PRX Control Solutions is a company that designs and develops solutions focused on prescription control and improving patient's quality of li,"39,395",Operating,01/01/2012,,1,http://www.prxcontrolsolutions.com,http://twitter.com/prxsolutions,http://www.facebook.com/prxcontrolsolutions,http://www.linkedin.com/company/prx-control-solutions,alfredo@prxcontrolsolutions.com,,"Fraud Detection, Insurance, Finance, Health Care, Consulting, Software",1,1-10,10/01/2015,"$20,000","$20,000","$200,000","$225,000",2,-0.1,-0.3,-0.5
Qover,https://www.crunchbase.com/organization/qover,"Information Technology, Internet Services, Financial Services","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Qover provides the first ever Sliced On-Demand Digital Insurance Infrastructure for consumer businesses,"53,641",Operating,03/31/2016,,,http://www.qover.me,,https://www.facebook.com/qover.me,https://www.linkedin.com/company/10436787,hello@qover.me,,"Internet, Insurance, FinTech, Information Technology",2,1-10,04/19/2016,,,,,2,0.0,1.0,
Quantifyle,https://www.crunchbase.com/organization/quantifyle,"Apps, Software, Health Care, Financial Services","London, England, United Kingdom",Quantifyle is a wellbeing app which helps people achieve goals while helping insurers reduce costs.,"52,350",Operating,01/01/2015,,,http://www.quantifyle.com/,http://www.twitter.com/quantifyle,https://www.facebook.com/Quantifyle-448606725337500/,,,,"Insurance, Apps, Health Care",,,12/08/2015,"€15,000","€15,000","$16,290","$16,290",2,-0.1,-0.1,-0.1
QxBranch,https://www.crunchbase.com/organization/qxbranch,"Data and Analytics, Software, Financial Services","Washington, District of Columbia, United States","QxBranch is a data analytics and systems engineering company, with expertise in quantum computing","61,129",Operating,01/01/2014,,5,http://www.qxbranch.com,https://twitter.com/qxbranch,,https://www.linkedin.com/company/qxbranch,hello@qxbranch.com,,"Insurance, FinTech, Big Data, Analytics, Software",,11-50,,,,,,,0.1,0.4,0.1
redQuo.com,https://www.crunchbase.com/organization/redquo-com,"Sales and Marketing, Internet Services, Financial Services",,"redQuo.com offers an online platform that enables individuals to manage their insurance, find agents, and request quotes.",,Operating,07/24/2011,,,http://www.redQuo.com,,,,,,"Insurance, Social Media Management, Finance",1,1-10,,,,,,,2.9,2.0,-0.7
Relevant,https://www.crunchbase.com/organization/relevant-3,"Apps, Software, Transportation, Financial Services, Mobile","Ashburn, Virginia, United States","Developer of next-generation mobile digital cards that replace traditional mobile apps. We power ATTENDANT SP, mobile for automotive.","84,870",Operating,09/15/2015,,,http://www.attendantsp.com,https://twitter.com/attendantcard,https://www.facebook.com/attendantcard,https://www.linkedin.com/company/relevant-&-attendant,hello@relevant.works,,"Automotive, Insurance, Apps, Mobile",,1-10,,,,,,,-0.1,-0.3,-0.6
RenewBuy,https://www.crunchbase.com/organization/renewbuy,"Internet Services, Financial Services","Gurgaon, Haryana, India",Simplest way to renew your car insurance. Get quote and insure your car in couple of minutes,"14,407",Operating,01/01/2015,,1,https://www.renewbuy.com/,https://twitter.com/renewbuy,https://www.facebook.com/Renewbuy/info/?tab=page_info,https://www.linkedin.com/company/renewbuy,team@renewbuy.com,+919599705050,"Internet, Insurance, Auto Insurance, Financial Services",1,11-50,04/15/2016,"$1,000,000","$1,000,000","$1,500,000","$1,500,000",1,0.1,0.2,-0.7
Reposit,https://www.crunchbase.com/organization/reposit,"Internet Services, Financial Services",,Your household inventory app,"74,516",Operating,12/01/2014,,,https://getreposit.com,https://www.twitter.com/getreposit,,,,12063536237,"Product Search, Internet, Insurance",,1-10,,,,,,,0.0,-0.1,-0.3
rethink,https://www.crunchbase.com/organization/rethink-3,"Software, Financial Services","Charleston, South Carolina, United States","Rethink, a U.S.-based company, develops a user facing portal enabling its clients and their financial advisors to plan online and more.","22,651",Operating,11/01/2014,,1,http://www.rethinkwealthmanagement.com,https://twitter.com/rethinkfintech,https://www.facebook.com/rethinkandwin,https://www.linkedin.com/company/rethink-financial,,,"Insurance, FinTech, Software, Financial Services",2,,12/01/2014,"$765,000","$765,000","$765,000","$765,000",,-0.3,-0.5,-0.7
RiskMatch,https://www.crunchbase.com/organization/riskmatch,"Information Technology, Data and Analytics, Software, Financial Services","Greenwich, Connecticut, United States",Analytics and Insurance Marketplace. Managing 7B in premiums for US brokers,"8,393",Operating,01/01/2013,,3,http://www.riskmatch.com,https://www.twitter.com/riskmatch,,,,,"Data Integration, Insurance, Analytics",,11-50,08/16/2016,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",4,-0.1,-0.2,-1.4
Root Insurance,https://www.crunchbase.com/organization/rootinsurance,"Apps, Software, Transportation, Financial Services, Mobile","Columbus, Ohio, United States",ROOT provides car insurance.,"5,567",Operating,03/01/2015,,1,https://joinroot.com,https://twitter.com/joinroot,https://www.facebook.com/RootInsuranceCo,https://www.linkedin.com/company/root-insurance,hello@joinroot.com,,"Automotive, Insurance, Auto Insurance, Mobile Apps",2,11-50,03/01/2016,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",1,-0.1,0.1,5.8
Schedule it,https://www.crunchbase.com/organization/schedule-it,"Software, Financial Services, Lending and Investments","Elizabethtown, Kentucky, United States","Software for anyone who handles Routing, Calendars, Income & Expenses.","50,143",Operating,01/01/2013,,,http://www.scheduleit.org/,https://twitter.com/ScheduleItCorp,https://www.facebook.com/ScheduleItCorporation,https://www.linkedin.com/company/schedule-it-corporation,,+1 (515) 442-5246,"Insurance, Banking, Software",2,11-50,03/01/2015,"$15,000","$15,000","$15,000","$15,000",1,0.1,-0.2,-0.4
Schutzklick,https://www.crunchbase.com/organization/schutzklick,"Internet Services, Financial Services","Berlin, Berlin, Germany","Under brand Schutzklick (DE/AT), simplesurance develops innovative insurance cross- selling solutions for e-commerce shops.","61,609",Operating,05/01/2012,,,https://www.schutzklick.de/,https://twitter.com/Schutzklick,https://www.facebook.com/Schutzklick,https://www.linkedin.com/company/simplesurance,info@schutzklick.de,(080) 060-1117,"Internet, Insurance, FinTech",,11-50,,,,,,,-0.1,-0.4,-0.3
Sealed,https://www.crunchbase.com/organization/sealed,"Energy, Sustainability, Real Estate, Data and Analytics, Software, Financial Services, Lending and Investments","New York, New York, United States","Grounded in proprietary analytics and software, Sealed finances home improvements with guaranteed energy savings","13,900",Operating,12/01/2012,,8,http://sealed.com,http://twitter.com/sealedhomes,https://www.facebook.com/sealedhomes/,,andy.frank@sealed.com,(631)693-1202,"Consumer Lending, Home Improvement, Clean Energy, Insurance, Predictive Analytics, Energy Efficiency, Software, Financial Services",3,11-50,06/15/2015,"$643,000","$643,000","$1,178,000","$1,178,000",1,0.0,-0.1,0.2
Serious Social Media,https://www.crunchbase.com/organization/serious-social-media,"Media and Entertainment, Software, Sales and Marketing, Internet Services, Financial Services","Orange, California, United States",Serious Social Media automates social media marketing for busy insurance professionals.,"31,910",Operating,01/01/2015,,,https://www.insurancesocial.media/,https://twitter.com/insurancesmm,https://www.facebook.com/645556962224500,https://www.linkedin.com/company/6452285,info@insurancesocial.media,,"Insurance, Social Media, Social Media Marketing, Software",,,02/10/2016,"$40,000","$40,000","$40,000","$40,000",1,0.0,-0.2,0.7
Simplesurance GmbH,https://www.crunchbase.com/organization/simplesurance,"Internet Services, Financial Services","Berlin, Berlin, Germany",Simplesurance develops innovative cross-selling e-commerce solutions to combine traditional insurance industries with digital business.,"3,598",Operating,05/01/2012,,1,http://www.simplesurance-group.com,http://twitter.com/Schutzklick,http://www.facebook.com/Schutzklick,http://www.linkedin.com/company/simplesurance,info@simplesurance.de,+4930688316301,"Internet, Insurance, FinTech",4,51-100,06/20/2016,,,"$8,000,000","$8,000,000",11,0.3,0.4,0.5
Slice Labs,https://www.crunchbase.com/organization/slice-labs,"Apps, Information Technology, Software, Financial Services, Mobile","New York, New York, United States",On-demand insurance for the on-demand economy.,"3,516",Operating,10/01/2015,,,http://www.slice.is/,,,https://www.linkedin.com/company/10368001?trk=prof-exp-company-name,INFO@SLICE.IS,(212)380-1849,"Insurance, Mobile Apps, Information Technology",2,11-50,10/04/2016,,,"$3,900,000","$3,900,000",3,-0.6,-1.9,-1.3
Socotra,https://www.crunchbase.com/organization/socotra,"Software, Financial Services","San Francisco, California, United States",Socotra is the next-generation technology platform built to power the fastest growing insurance businesses globally.,"37,926",Operating,01/01/2014,,,https://www.socotra.com,,,https://www.linkedin.com/company/5157682?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5157682%2Cidx%3A2-1-2%2CtarId%3A1467425055797%2Ctas%3Asocotra,inquiries@socotra.com,,"Insurance, SaaS, Enterprise Software",1,11-50,10/01/2014,,,,,9,-0.1,-0.3,-0.3
Sofdesk Inc.,https://www.crunchbase.com/organization/sofdesk-inc,"Apps, Natural Resources, Energy, Sustainability, Real Estate, Software, Financial Services","Montréal, Quebec, Canada","Sofdesk offers the leading web application for solar installation, roofing and insurance companies.","77,360",Operating,12/13/2013,,,http://sofdesk.com/,https://www.twitter.com/sofdesk,https://www.facebook.com/sofdesk/,,,,"Home Renovation, Solar, Insurance, Web Apps, Software",3,11-50,,,,,,,-0.1,-0.1,0.3
SPIXII,https://www.crunchbase.com/organization/spixii,"Science and Engineering, Data and Analytics, Software, Financial Services","London, England, United Kingdom","SPIXII is an automated insurance agent dedicated to making insurance quicker, easier and more personal than ever before.","36,573",Operating,01/01/2016,,,http://spixii.ai/,https://twitter.com/spixii_bot,https://www.facebook.com/Spixii-1686356018300914,,team@spixii.ai,,"Insurance, Analytics, Artificial Intelligence",3,1-10,04/14/2016,"€15,000",,,"$16,979",2,0.0,-0.1,-0.1
Sure,https://www.crunchbase.com/organization/sure-inc,"Apps, Software, Internet Services, Financial Services, Mobile","New York, New York, United States",Sure is the newest innovation in personal insurance. We're launching on-demand insurance worldwide in 2016.,"4,560",Operating,10/01/2014,,5,http://www.sureapp.com/,https://twitter.com/surehq,https://www.facebook.com/surehq,https://www.linkedin.com/company/sure-insurance,,,"Internet, Insurance, Mobile Apps, Software",1,11-50,05/12/2016,"$2,600,000","$2,600,000","$2,600,000","$2,600,000",3,0.1,-0.1,-0.6
Sureify,https://www.crunchbase.com/organization/sureify,"Software, Internet Services, Financial Services","San Jose, California, United States","The bridge between carriers and customers. Engagement tools, analytics and a new way to think about insurance.","31,835",Operating,03/01/2012,,,http://www.sureify.com,https://www.twitter.com/sureify,https://www.facebook.com/sureifylabs,https://www.linkedin.com/company/2750195?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A519164661440089566742%2CVSRPtargetId%3A2750195%2CVSRPcmpt%3Aprimary,info@sureify.com,1(855)331-6467,"B2B, Life Insurance, Insurance, Enterprise Software, Internet of Things, Software",4,11-50,,,,,,,0.3,1.5,1.3
TEEMWURK Inc,https://www.crunchbase.com/organization/teemwurk,"Software, Health Care, Financial Services","Fremont, California, United States","TeemWurk provides integrated solutions and services such as payroll, HR, and other tax compliance.","89,259",Operating,10/01/2013,,,http://teemwurk.com,http://twitter.com/teemwurk,http://www.facebook.com/TeemWurk,http://www.linkedin.com/company/teemwurk,Info@teemwurk.com,(916) 932-2898,"Employee Benefits, Human Resources, Insurance, Software",,11-50,,,,,,,-0.1,-0.3,-0.6
The Zebra,https://www.crunchbase.com/organization/the-zebra,"Commerce and Shopping, Transportation, Internet Services, Financial Services","Austin, Texas, United States","The Zebra is an auto insurance comparison engine, enabling users to compare and find the best car insurance.","1,470",Operating,01/09/2012,,45,http://www.thezebra.com,http://twitter.com/TheZebraCo,http://www.facebook.com/TheZebraCo,https://www.linkedin.com/company/the-zebra,info@thezebra.com,1(888) 255-4364,"Price Comparison, Search Engine, Automotive, Insurance, Auto Insurance",2,51-100,01/26/2016,"$17,000,000","$17,000,000","$23,025,063","$23,025,063",14,0.1,-0.1,-1.4
Tractable,https://www.crunchbase.com/organization/tractable,"Data and Analytics, Software, Financial Services","London, England, United Kingdom",Tractable develops deep learning algorithms to learn expert tasks.,"6,993",Operating,01/01/2014,,,http://tractable.io/,,,https://www.linkedin.com/company/tractable,contact@tractable.io,,"Insurance, Machine Learning, Software",3,1-10,06/30/2015,"$1,900,000","$1,900,000","$1,900,000","$1,900,000",4,-0.2,-0.3,-0.1
TravelInsurance.com,https://www.crunchbase.com/organization/travelinsurance-com,"Travel and Tourism, Internet Services, Financial Services","New York, New York, United States",TravelInsurance.com offers the easiest way to compare and buy travel insurance plans online. Founded by Stan Sandberg and Drew Sharma.,"89,977",Operating,01/01/2013,,,http://www.travelinsurance.com,https://www.twitter.com/travelinsure123,https://www.facebook.com/212809452173951,,,+1 (877) 906-3950,"Travel, Online Portals, Insurance",1,11-50,,,,,,,0.7,1.8,1.7
Trinity,https://www.crunchbase.com/organization/trinity,"Internet Services, Financial Services","South Korea, Asia","Trinity develops web sites, apps, and portable devices for insurance and risk management.",,Operating,07/14/2014,,,,,,,,,"Insurance, Risk Management, Web Hosting",,1-10,,,,,,,1.7,2.1,0.5
Tripcover,https://www.crunchbase.com/organization/tripcover,"Apps, Software, Transportation, Financial Services","Burleigh, Queensland, Australia",Tripcover is a standalone insurer of car rental excess and competes directly with the car rental companies in Australia and New Zealand pres,"55,850",Operating,01/01/2011,,,http://tripcover.com.au,http://twitter.com/tripcover,http://www.facebook.com/tripcover,,admin@tripcover.com.au,041 771 2601,"Automotive, Insurance, Apps",2,1-10,11/20/2013,"$40,000","$40,000","$40,000","$40,000",1,0.3,-0.4,-0.6
UpGuard,https://www.crunchbase.com/organization/scriptrock,"Science and Engineering, Information Technology, Data and Analytics, Software, Privacy and Security, Financial Services","San Francisco, California, United States","UpGuard is the company behind CSTAR, the world's only comprehensive and actionable cybersecurity preparedness score for enterprises.","1,056",Operating,01/21/2012,,52,https://www.upguard.com/,https://twitter.com/upguard,https://www.facebook.com/UpGuard/,https://www.linkedin.com/company/upguard,upguard@launchsquad.com,+1 (850) 956-1511,"Intelligent Systems, Test and Measurement, Insurance, Cyber Security, Enterprise Software, Software",3,11-50,08/11/2016,"$17,000,000","$17,000,000","$26,973,081","$26,973,081",19,0.1,-0.2,-2.6
Uptake,https://www.crunchbase.com/organization/uptake-3,"Data and Analytics, Software, Health Care, Financial Services","Chicago, Illinois, United States","Uptake is a platform of answers built for industry, with industry.","1,330",Operating,01/01/2014,,82,http://www.uptake.com,http://twitter.com/uptake,http://facebook.com/uptake,http://linkedin.com/company/uptake,info@uptake.com,(650) 329-9888,"Insurance, Predictive Analytics, Health Care",1,251-500,10/27/2015,"$45,000,000","$45,000,000","$45,000,000","$45,000,000",4,0.1,-0.8,-1.1
UrbanStat,https://www.crunchbase.com/organization/urbanstat,"Navigation and Mapping, Data and Analytics, Internet Services, Financial Services","Istanbul, Istanbul, Turkey","UrbanStat helps insurance companies to visualize and analyze location-based risks such as flood, storm, landslide and earthquake","38,336",Operating,01/01/2013,,1,http://www.urbanstat.com/,https://twitter.com/urbanstat,,https://www.linkedin.com/company/mekansal-i%CC%87%C5%9Fler,contact@urbanstat.com,+113129857828,"Location Based Services, Insurance, Finance",1,1-10,02/01/2016,"$100,000","$100,000","$100,000","$100,000",,-0.2,-0.2,-0.2
Verisart,https://www.crunchbase.com/organization/verisart,"Media and Entertainment, Internet Services, Financial Services","Los Angeles, California, United States",Certifying and verifying art via the blockchain,"68,475",Operating,03/01/2015,,4,http://www.verisart.com,http://www.twitter.com/verisart,http://www.facebook.com/verisart,http://www.linkedin.com/company/verisart,contact@verisart.com,,"Art, Internet, Insurance",3,1-10,07/01/2015,,,,,1,0.0,-0.3,-0.5
Whiteport,https://www.crunchbase.com/organization/whiteport,"Platforms, Apps, Software, Health Care, Financial Services, Mobile","Stockholm, Stockholms Lan, Sweden",Whiteport is an IT service with designers and usability experts who create prestigious IT solution designs.,,Operating,01/01/2012,,,http://www.whiteport.com,http://twitter.com/whiteportmethod,,,info@whiteport.com,+46854510000,"iOS, Android, Insurance, SaaS, Apps, Health Care, Software",,1-10,,,,,,,-0.5,0.4,-0.3
X,https://www.crunchbase.com/organization/bill-hero,"Natural Resources, Energy, Software, Internet Services, Financial Services",,BillHero is an application that monitors your bills and notifies you of opportunities to save by switching providers.,"90,816",Operating,09/01/2013,,1,http://www.billhero.com.au,http://twitter.com/getbillhero,http://www.facebook.com/getbillhero,http://www.linkedin.com/company/3308168,daniel@billhero.com.au,,"Internet, Developer Tools, Insurance, Energy, Finance, Oil and Gas",1,1-10,,,,,,,-0.4,-0.7,-1.1
Yangche Diandian,https://www.crunchbase.com/organization/yangche-diandian,"Transportation, Internet Services, Financial Services","Hangzhou, Zhejiang, China",Yangche Diandian offers a range of painting and cleaning services for automobiles.,"16,130",Operating,01/01/2014,,,http://yangchediandian.com,,,,,86 571 8720 7587,"Internet, Automotive, Insurance",1,,07/07/2015,"$60,000,000","$60,000,000","$75,000,000","$75,000,000",2,-0.1,0.1,-0.3
Yepstr,https://www.crunchbase.com/organization/yepstr,"Apps, Software, Payments, Financial Services",,Yepstr are here to give you more free time,"31,958",Operating,01/01/2014,,,http://www.yepstr.com/,https://www.twitter.com/yepstr,https://www.facebook.com/yepstr,,,+1 (085) 151-9000,"Insurance, Payments, Apps",,1-10,05/23/2016,"$845,000","$845,000","$845,000","$845,000",,0.1,0.8,0.0
ZhongAn,https://www.crunchbase.com/organization/zhongan,"Internet Services, Financial Services",,Zhong An innovative insurance is an Internet-based insurance company data. Big data allows insurers can not meet the needs of the past,"2,343",Operating,01/01/2013,,,http://www.zhongan.com,,,,cs@zhongan.com,400 -999-9595,"Internet, Insurance, FinTech",,,06/12/2015,"$931,300,000","$931,300,000","$931,300,000","$931,300,000",3,0.2,0.2,-0.3
ZineOne,https://www.crunchbase.com/organization/zineone,"Travel and Tourism, Commerce and Shopping, Data and Analytics, Software, Health Care, Financial Services, Lending and Investments","Milpitas, California, United States",ZineOne enables brands process live data streams from multiple digital sources to build real-time interactions across all digital channels,"57,516",Operating,08/01/2013,,1,http://www.zineone.com,http://twitter.com/Zine_One,http://www.facebook.com/ZineOne,http://www.linkedin.com/company/zineone-inc-,sona@zineone.com,(650) 383-5486,"Travel, Shopping, Developer Tools, Insurance, Banking, E-Commerce, Analytics, Health Care",3,11-50,,,,,,,0.0,-0.3,0.2
