Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Longworth Venture Partners,https://www.crunchbase.com/organization/longworth-venture-partners,87,25,"Waltham, Massachusetts, United States",Venture Capital,Longworth Venture Partners is a Boston-based VC investing in early-stage technology companies.,http://www.longworth.com,http://twitter.com/longworthvp,,,50,31,,,,"4,350",-0.1,-1.1,-3.3
The VineOC,https://www.crunchbase.com/organization/the-vineoc,87,2,"Irvine, California, United States",Co-working Space,The VineOC is a vibrant business community rooted in innovation and growth.,http://thevine.irvinecompany.com/orange-county,https://twitter.com/thevineoc,,https://www.linkedin.com/company/thevineca,87,1,,12/31/2016,,"4,919",0.1,0.5,-0.1
Temasek Holdings,https://www.crunchbase.com/organization/temasek,86,20,"Singapore, Central Region, Singapore",,"Temasek is an investment company based in Singapore, with a focus on delivering sustainable returns over the long term.",http://www.temasek.com.sg,http://twitter.com/Temasek,https://www.facebook.com/temasekholdings,https://sg.linkedin.com/company/temasek-holdings,71,26,,,,282,1.7,0.5,4.1
T. Rowe Price,https://www.crunchbase.com/organization/t-rowe-price,85,32,"Baltimore, Maryland, United States",Private Equity Firm,T. Rowe Price is a Maryland-based investment management firm dedicated to funding technology startups.,http://www.troweprice.com,http://twitter.com/troweprice,http://www.facebook.com/troweprice,http://www.linkedin.com/company/t.-rowe-price,68,26,,,,405,-0.4,2.9,0.4
Square 1 Bank,https://www.crunchbase.com/organization/square-1-bank,85,20,"Durham, North Carolina, United States",Venture Debt,Square 1 Bank is a full-service commercial bank that provides financial services to entrepreneurs and venture capitalists.,http://www.square1financial.com,http://twitter.com/Square1Bank,http://www.facebook.com/Square1Bank,http://www.linkedin.com/company/square-1-bank,80,14,,,,"1,011",-0.3,1.3,-0.7
Yuri Milner,https://www.crunchbase.com/person/yuri-milner,84,13,"Russian Federation, Europe",Angel,"Yuri started investing in Internet companies in 1999. In 2005, he founded Digital Sky Technologies, Limited (now DST Global/Mail.ru Group) to focus on Internet investments in the Russian speaking world.  Under his leadership, Mail.ru Group performed approximately 75 transactions and built what is now the leading Russian language website in terms of users. Mail.ru Group is also the seventh most popular website globally in terms of page views or minutes spent online according to Comscore. Yuri is now the non-executive Chairman of Mail.ru Group. In mid-2009, Yuri launched DST Global as the primary vehicle for international Internet investments. Under his leadership, DST Global invested in Facebook, the world's largest social network, in Zynga, a leading social gaming company and in Groupon, a leading social e-commerce company. Yuri graduated from Moscow State University in 1985 with an advanced degree in theoretical physics and subsequently conducted research at the Institute of ",,https://twitter.com/yuri_milner,,http://ru.linkedin.com/pub/yuri-milner/10/b59/3b2/en,72,7,,,,742,0.0,-0.8,-0.1
Caixa Capital Risc,https://www.crunchbase.com/organization/caixa-capital,84,5,"Barcelona, Catalonia, Spain",Venture Capital,Caixa Capital Risc is a Barcelona-based venture capital firm that provides equity and convertible loans to early-stage companies.,http://www.caixacapitalrisc.es,http://twitter.com/CaixaCR,,https://www.linkedin.com/company/136548?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A136548%2Cidx%3A2-1-2%2CtarId%3A1446566148514%2Ctas%3Acaixa%20capital%20risc,75,30,,,,"1,868",-0.4,-0.8,-1.6
UpTech Accelerator,https://www.crunchbase.com/organization/uptech-fund,84,2,"Covington, Kentucky, United States",Accelerator,UpTech is a tech accelerator program for data-driven startups that are developing tech-enabled solutions and seeking equity funding.,http://www.uptechideas.org/,http://twitter.com/uptechideas,http://www.facebook.com/UpTechIdeas,http://www.linkedin.com/company/2467625,31,1,,06/26/2016,6 months,"7,808",-0.4,-0.5,-0.5
Benjamin Ling,https://www.crunchbase.com/person/ben-ling,83,18,"Menlo Park, California, United States",Angel,"Ben Ling is an Investment Partner at Khosla Ventures, where he is focused on mobile and Internet, marketplace, consumer health and data businesses. He is an accomplished executive and angel investor, with senior operating roles at Google, YouTube, Facebook, and Badoo. His personal investments include Square, Palantir, Quora, and PracticeFusion, Fab, DogVacay, and he holds advisory roles at Pinterest and Pulse. Ben currently serves on the board of Wattpad, Tapingo, Academia.edu, TheHunt, Quantopian, and Pymetrics. At Google, he was Google’s Senior Director of Search Products and Local Business Products, including overseeing Images, Videos, Books, News and Finance. At YouTube, he was Senior Director of Partnerships and Platform, responsible for Music, Movies, Sports, News, as well as Mobile, TV, and API partnerships. In his first role at Google, Ben was the founder and GM of Google’s Commerce group, including Google Wallet and Shopping. At Facebook, Ben was Director of Facebook ",,http://twitter.com/bling0,http://www.facebook.com/benjamin.ling,http://www.linkedin.com/pub/benjamin-ling/1/405/43a,76,8,,,,"2,292",0.1,1.8,2.3
Capstone Partners Korea,https://www.crunchbase.com/organization/capstone-partners-korea,83,,"Seoul, Seoul-t'ukpyolsi, South Korea",Micro VC,Capstone Partners is a venture capital firm that invests in entrepreneurs seeking success with fresh ideas.,http://cspartners.co.kr,https://www.twitter.com/iueditor,,,71,,,,,"7,773",0.0,-0.1,1.5
Mark Cuban,https://www.crunchbase.com/person/mark-cuban,82,12,"Dallas, Texas, United States",Angel,"Since the age of 12, Mark has been a natural businessman. Selling garbage bags door to door, the seed was planted early on for what would eventually become long-term success. After graduating from Indiana University - where he briefly owned the most popular bar in town - Mark moved to Dallas. After a dispute with an employer who wanted him to clean instead of closing an important sale, Mark created MicroSolutions, a computer consulting service. He went on to later sell MicroSolutions in 1990 to CompuServe. In 1995, Mark and long-time friend Todd Wagner came up with an internet based solution to not being able to listen to Hoosiers Basketball games out in Texas. That solution was Broadcast.com - streaming audio over the internet. In just four short years, Broadcast.com (then Audionet) would be sold to Yahoo for $5.6 billion dollars. Since his acquisition of the Dallas Mavericks in 2000, he has overseen the Mavs competing in the NBA Finals for the first time in franchise history in",,http://twitter.com/mcuban,http://www.facebook.com/markcuban,http://www.linkedin.com/pub/mark-cuban/25/824/806,65,2,,,,208,-0.2,2.2,5.3
BDMI,https://www.crunchbase.com/organization/bertelsmann-digital-media-investments,82,6,"New York, New York, United States",Corporate Venture Capital,"BDMI is a New York-based venture capital firm focused on investments in digital media technologies, products, and distribution channels.",http://www.bdmifund.com,http://twitter.com/BDMIFund,http://www.facebook.com/bdmifund,,57,16,,,,"2,085",-0.2,-1.4,-3.1
FFL Startup Accelerator,https://www.crunchbase.com/organization/ffl,79,15,"Palo Alto, California, United States",Accelerator,FFL is the startup accelerator for experienced tech industry leaders.,http://www.joinffl.com/,https://twitter.com/joinffl,https://www.facebook.com/joinffl/,https://www.linkedin.com/company/7797700,79,,,11/10/2016,,"3,994",0.1,1.1,3.3
FJ Labs,https://www.crunchbase.com/organization/fj-labs,78,3,"New York, New York, United States",Venture Capital,FJ Labs is a stage-agnostic New York-based investment firm with global focus. FJ Labs focuses on marketplaces and consumer facing startups.,http://www.fjlabs.com,,https://www.facebook.com/FJLABS/,https://www.linkedin.com/company/fj-labs,71,,,,,996,-0.2,-0.2,-1.1
Capital Innovators,https://www.crunchbase.com/organization/capital-innovators,76,1,"St Louis, Missouri, United States",Accelerator,"Capital Innovators helps tech startups reach the next level by providing funding, resources and connections.",http://capitalinnovators.com,http://twitter.com/CapInnovators,http://www.facebook.com/CapInnovators,http://www.linkedin.com/company/2340156,66,,,11/04/2016,,"2,775",-0.1,-2.4,-4.3
Opus Capital,https://www.crunchbase.com/organization/opus-capital,76,14,"Menlo Park, California, United States",Venture Capital,"At Opus Capital, they are energized and excited about venture investing. The outlook for early-stage technology companies is very",http://www.opuscapitalventures.com/,http://twitter.com/opuscapital,http://www.facebook.com/pages/Opus-Capital/231792435136,http://www.linkedin.com/company/opus-capital,41,28,,,,"2,839",-0.1,0.1,-0.2
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,75,6,"Berlin, Berlin, Germany",,Rocket Internet is an internet platform that identifies and builds proven internet business models.,http://www.rocket-internet.com,http://twitter.com/RocketBerlin,http://www.facebook.com/RocketInternetBerlin,http://de.linkedin.com/company/rocket-internet-ag,53,22,,,,80,0.0,-0.1,-1.7
Scout Ventures,https://www.crunchbase.com/organization/scout-ventures,75,10,"New York, New York, United States",Venture Capital,Scout Ventures is a New York-based seed-stage venture firm that offers companies with strategic support and capital.,http://scoutventures.com,http://twitter.com/ScoutVentures,http://www.facebook.com/ScoutVentures,http://www.linkedin.com/company/scout-ventures,49,1,,,,"2,729",0.0,-0.5,-0.9
Ludlow Ventures,https://www.crunchbase.com/organization/ludlow-ventures-llc,74,13,"Detroit, Michigan, United States",Venture Capital,"Ludlow Ventures provides entrepreneurs and startups with seed and early stage, and debt financing investments.",http://www.ludlowventures.com,http://twitter.com/jtriest,https://www.facebook.com/pages/Ludlow-Ventures/292489635915,http://www.linkedin.com/in/jtriest,63,,,,,"1,032",-0.9,-2.4,-0.5
HLM Venture Partners,https://www.crunchbase.com/organization/hlm-venture-partners,73,19,"Boston, Massachusetts, United States",Venture Capital,"HLM Venture Partners is a proven, successful venture capital health care investor. Over 60 privately held health care companies have",http://www.hlmvp.com,http://twitter.com/hlmvp,,,44,25,,,,"2,600",-1.0,-2.3,-1.4
Javelin Venture Partners,https://www.crunchbase.com/organization/javelin-venture-partners,72,13,"San Francisco, California, United States",Venture Capital,"Javelin Venture Partners invests in early-stage tech companies focused on digital media, e-commerce, mobile and healthcare IT.",http://javelinvp.com,http://twitter.com/JavelinVP,,,47,34,,,,763,-0.5,-1.4,-1.9
Founders' Co-op,https://www.crunchbase.com/organization/founders-co-op,72,12,"Seattle, Washington, United States",Incubator,Founders' Co-op is the Pacific Northwest's leading seed-stage investment fund.,http://www.founderscoop.com,http://twitter.com/founderscoop,http://www.facebook.com/pages/Founders-Co-op/149656408416775,http://www.linkedin.com/company/founders-co-op,56,6,,,,"2,697",0.2,3.6,-0.3
MVI (MENA Venture Investments),https://www.crunchbase.com/organization/mena-venture-investments,72,3,"Dubai, Dubai, United Arab Emirates",Venture Capital,Mena Venture Investments (MVI) is an angel fund that invests in early stage startups with strong growth potential MENA Region and beyond. ,http://mvi.vc,,,https://www.linkedin.com/company/5263967?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5263967%2Cidx%3A1-1-1%2CtarId%3A1440098263418%2Ctas%3AMena%20Venture%20Investments,63,1,,,,"3,810",0.4,1.2,1.9
Albion Ventures LLP,https://www.crunchbase.com/organization/albion-ventures,71,2,"London, England, United Kingdom",Venture Capital,Albion Ventures is an established venture capital investor with funds of £450 million under investment management or administration,http://www.albion-ventures.co.uk,http://twitter.com/AlbionVentures,,http://www.linkedin.com/company/albion-ventures-llp,41,10,,,,"1,993",2.5,1.1,4.8
Accelerace,https://www.crunchbase.com/organization/accelerace,71,1,"Copenhagen, Hovedstaden, Denmark",Accelerator,"Accelerace, a Denmark-based business development organization, provides training, funding, and business development services for startups.",http://www.accelerace.dk,https://twitter.com/AcceleraceDK,http://www.facebook.com/acceleracedk,http://www.linkedin.com/company/1561499,59,,,,,"7,158",-0.4,-0.6,0.2
Techammer,https://www.crunchbase.com/organization/techammer,70,13,"New York, New York, United States",Angel Group,Techammer is a New York-based angel investment company focused on seed-stage companies.,https://angel.co/techammer,http://twitter.com/techammer,,https://www.linkedin.com/company/techammer,69,,,,,"1,840",-0.2,-1.0,-0.2
Gobi Partners,https://www.crunchbase.com/organization/gobi-partners,69,3,"Shanghai, Shanghai, China",Venture Capital,Gobi Partners is an early stage venture capital firm focusing on IT and digital media investments in China.,http://www.gobivc.com,,,https://www.linkedin.com/company/2025823?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2025823%2Cidx%3A1-1-1%2CtarId%3A1440802419208%2Ctas%3AGobi%20Partners,53,28,,,,754,-0.4,4.5,0.7
SIG China,https://www.crunchbase.com/organization/sig-china,69,3,"Shanghai, Shanghai, China",Venture Capital,"SIG's China venture capital and private equity activities are operated through SIG Asia Investments, LLLP (SAI) and its wholly foreign",http://www.sig-china.com/index.asp?Lang=en,,,,51,9,,,,"2,614",0.2,3.6,4.0
Pinnacle Ventures,https://www.crunchbase.com/organization/pinnacle-ventures,69,20,"Menlo Park, California, United States",Venture Capital,Pinnacle Ventures is a private venture capital fund focused on providing debt and equity financing to early-stage companies across,http://www.pinnacleven.com,http://twitter.com/Pinnacleven,,,46,11,,,,"3,569",0.1,-0.2,-1.5
LVenture Group,https://www.crunchbase.com/organization/lventures,68,1,"Roma, Lazio, Italy",Venture Capital,We are a publicly listed holding company operating in seed Venture Capital. We own and operate LUISS ENLABS Accelerator.,http://www.lventuregroup.com,http://twitter.com/lventuregroup,,http://www.linkedin.com/company/lventure-group,43,10,,,,"3,722",-0.4,-1.1,-1.9
Bradley C. Harrison,https://www.crunchbase.com/person/bradley-c-harrison,68,10,"New York, New York, United States",Angel,"Bradley C. Harrison is an entrepreneur and seasoned business development executive with a passion for technology, media, entertainment and lifestyle. Brad has a great deal of experience launching new ventures. While attending MIT, he worked as a Partner in a seed stage venture fund, ITU Ventures, and helped launch a joint MIT-Harvard incubator. During this experience, Brad worked at the earliest stages with many dynamic companies including Endeca Technologies. While serving as Director of Media Strategy and Development at AOL, Brad co-authored 3 patents in search, geo-tagging, and personalization, with Edmund Fish, Senior Vice President and General Manager at AOL. Following AOL, Brad helped raise $40M in venture funding for a contextual online advertising network. Prior to launching his business career, Brad served in the United States Army for five years, earning both Airborne and Ranger qualifications and retired as Captain.",,http://twitter.com/bradharrison1,http://www.facebook.com/bradley.c.harrison,http://www.linkedin.com/in/bradharrison,47,,,,,"4,373",-0.1,0.1,2.2
Club Italia Investimenti,https://www.crunchbase.com/organization/club-italia-investimenti,68,1,"Milan, Lombardia, Italy",Micro VC,Club Italia Investimenti is a Milan-based venture capital firm that assists startups in raising seed capital.,http://www.cii2.com,http://twitter.com/ClubItalia2,http://www.facebook.com/ClubItaliaInvestimenti,https://www.linkedin.com/company/6325067,59,1,,,,"6,569",-0.1,0.8,0.6
Wellington Management,https://www.crunchbase.com/organization/wellington-management,67,18,"Boston, Massachusetts, United States",Investment Bank,"Wellington Management Company is one of the largest private, independent investment management companies in the world.",http://wellington.com,https://twitter.com/wellingtonmgt,https://www.facebook.com/pages/Wellington-Management-Inc/192813427434277,https://www.linkedin.com/company/wellington-management,62,24,,,,"1,271",-0.3,-1.0,-3.5
CincyTech,https://www.crunchbase.com/organization/cincytech,67,4,"Cincinnati, Ohio, United States",Incubator,CincyTech is a public-private partnership whose mission is to invest in high-growth startup technology companies in Southwest Ohio.,http://cincytechusa.com,http://twitter.com/Cincy_Tech,http://www.facebook.com/cincytechventures,http://www.linkedin.com/company/cincytech-usa,49,15,,,,"1,309",-1.1,-1.6,-0.7
Saeed Amidi,https://www.crunchbase.com/person/saeed-amidi,67,6,"Sunnyvale, California, United States",Angel,"Saeed has been a technology investor since 1996 and co-founded Amidzad with Pejman and Rahim in 1999. He is a serial entrepreneur and a seasoned executive with over 25 years of experience in founding, operating, and growing successful companies. He has been closely involved with more than twenty new emerging growth companies, of which 2 became public companies (PayPal (acquired by eBay) and Preview Systems). His investment includes Paypal ( acquired by eBay), Preview systems, Lending Club, Zoosk, Flipora, Affinity Circles, Techdirt, Sigmaquest, Scanscout, NextBio, Webs to name a few. Saeed co-founded the Amidi Group in 1980, a conglomerate of privately-held business enterprises consisting of several domestic and international entities with significant manufacturing, distribution, trading, retail, and real estate holdings.  For the past 25 years, he has chaired and spearheaded the operations and management of a number of the Amidi Group entities, growing the aggregate value of ",,http://twitter.com/SaeedAmidi,,http://www.linkedin.com/pub/saeed-amidi/3/334/8,44,1,,,,"4,848",-0.1,0.1,-0.2
Verizon Ventures,https://www.crunchbase.com/organization/verizon-ventures,66,10,"Basking Ridge, New Jersey, United States",Corporate Venture Capital,Verizon Ventures invests in promising entrepreneurial companies to drive innovation in Verizon Communications Inc.,http://www.verizonventures.com,https://twitter.com/verizonventures,http://www.facebook.com/VerizonFiOS,http://www.linkedin.com/companies/verizon-ventures,50,18,,,,580,4.0,3.2,3.5
John S. and James L. Knight Foundation,https://www.crunchbase.com/organization/knight-foundation,63,6,"Miami, Florida, United States",,"Knight Foundation supports transformational ideas that promote quality journalism, advance media innovation, and engaged communities.",http://knightfoundation.org,http://twitter.com/knightfdn,http://www.facebook.com/knightfdn,http://www.linkedin.com/company/john-s.-and-james-l.-knight-foundation,56,11,,,,"1,648",2.1,0.0,3.7
Farzad (Zod) Nazem,https://www.crunchbase.com/person/farzad-nazem,62,8,"Palo Alto, California, United States",Angel,"Farzad (Zod) Nazem has been a prolific angel investor and advisor to tech startup companies since his retirement from Yahoo! in 2007.  He has invested in more than 60 early stage companies, and sits on the boards of Hand Foundation, and The Nueva School.  His area of investment is about two thirds Big Data and Cloud platforms, and one third Health and Medical.  He was the Executive Vice President of Engineering and Chief Technology Officer of Yahoo from 1996 to mid 2007.  He helped acquire and integrate over 50 companies and managed over six thousand engineers representing half of the company's employees.   Between 1985 and 1996, Mr. Nazem held various software development and management positions at Oracle Corporation culminating in his role as Vice President of Media and Web Server Division.  His tenure at Oracle also included membership in the company's Product Division Management Committee, which set overall strategy for Oracle products.   Previously, Mr. Nazem was recruit",,https://twitter.com/fnazem,,http://www.linkedin.com/pub/farzad-nazem/16/348/628,53,,,,,"4,812",0.1,0.1,-0.3
Target Partners,https://www.crunchbase.com/organization/target-partners,61,13,"Munich, Bayern, Germany",Venture Capital,Target Partners is a German venture capital firm that invests in early-stage technology companies.,http://www.targetpartners.de,http://twitter.com/targetpartners,http://www.facebook.com/targetpartners,http://www.linkedin.com/company/target-partners-gmbh,44,23,,,,993,1.8,4.9,5.5
Nauta Capital,https://www.crunchbase.com/organization/nauta-capital,60,4,"Barcelona, Catalonia, Spain",Venture Capital,"Nauta Capital, founded in 2004 with offices in London (UK), Boston (USA), and Barcelona (Spain) is a Venture Capital firm specialized in",http://www.nautacapital.com,,,http://www.linkedin.com/company/nauta-capital,38,24,,,,"2,816",0.2,-0.6,-3.8
Greenspring Associates,https://www.crunchbase.com/organization/greenspring-associates,58,22,"Owings Mills, Maryland, United States",Venture Capital,Greenspring Associates funds secondary investments in venture capital funds and expansion stage venture-backed companies.,http://greenspringassociates.com,http://twitter.com/GreenspringVC,http://www.facebook.com/Greenspring-Associates/10101982327,http://www.linkedin.com/company/909296,42,24,,,,"1,071",-0.6,-1.7,2.9
Inventus Capital Partners,https://www.crunchbase.com/organization/inventus-capital-partners,58,7,"San Mateo, California, United States",Venture Capital,Inventus Capital Partners is a US-India venture firm managed by successful entrepreneurs and industry operating veterans who have guided,http://www.inventuscap.com,http://twitter.com/Inventusvc,http://www.facebook.com/Inventusvc,http://www.linkedin.com/company/inventus-capital-partners,37,14,,,,"2,683",0.2,-0.1,-0.5
Mucker Capital,https://www.crunchbase.com/organization/muckercapital,57,4,"Santa Monica, California, United States",Accelerator,"Mucker Capital is focused on investments in seed- and pre-stage companies in internet software, services, and media sectors.",http://www.muckercapital.com,http://twitter.com/muckercapital,,http://www.linkedin.com/company/3637478,47,4,,,,"1,364",-0.5,-1.7,1.3
Delta Partners,https://www.crunchbase.com/organization/delta-partners,57,5,"Leopardstown, Dublin, Ireland",Venture Capital,Delta Partners is a venture capital firm focused on investments in Ireland and the United Kingdom.,http://www.deltapartners.com/,http://www.twitter.com/deltavc,https://www.facebook.com/pages/Delta-Partners/168604507931,https://www.linkedin.com/company/276295,41,19,,,,"2,177",0.8,4.8,1.8
Inventure Oy,https://www.crunchbase.com/organization/inventure-oy,56,3,"Helsinki, Southern Finland, Finland",Venture Capital,"Inventure is a leading early-stage venture capital company in the Nordics. Inventure operates in Helsinki, Stockholm, Shanghai and New York.",http://www.inventure.fi,http://twitter.com/inventurevc,,https://www.linkedin.com/company/inventure,41,25,,,,"1,106",2.0,4.7,5.5
Blue Chip Venture Company,https://www.crunchbase.com/organization/blue-chip-venture-company,56,15,"Cincinnati, Ohio, United States",Venture Capital,Blue Chip Venture Company is a venture fund focusing on technology companies serving the digital media and big data industries,http://www.bcvc.com,https://twitter.com/bluechipvc,https://www.facebook.com/bluechipventures?ref=hl,https://www.linkedin.com/company/blue-chip-venture-company/,43,17,,,,"5,551",-0.1,0.0,-0.1
Chamath Palihapitiya,https://www.crunchbase.com/person/chamath-palihapitiya,55,9,"Palo Alto, California, United States",Angel,"Chamath Palihapitiya is the Founder and Managing Partner of The Social+Capital Partnership – a venture capital fund based in Palo Alto, CA that incubates and invests in breakthrough companies in healthcare, education, financial services, mobile and enterprise software. Preceding his focus as an investor, Chamath was the longest tenured member of Facebook's senior executive team and helped drive its ascension to one of the most important companies in the world.  Prior to Facebook, Chamath had leading roles at The Mayfield Fund, and Winamp. In addition to his focus at the fund, Chamath is Owner and Director of the NBA's Golden State Warriors.  Chamath was born in Sri Lanka, grew up in Canada, and graduated with a degree in Electrical Engineering from the University of Waterloo.",,http://twitter.com/chamath,http://www.facebook.com/chamath,http://www.linkedin.com/in/chamath,34,19,,,,615,0.0,-0.2,4.1
MMC Ventures,https://www.crunchbase.com/organization/mmc-ventures,55,5,"London, England, United Kingdom",Venture Capital,"Award-winning venture capital firm that has been backing early-stage, high-growth companies since 2000.",http://www.mmcventures.com,http://twitter.com/MMC_Ventures,http://www.facebook.com/pages/MMC-Ventures/114541821894143,http://www.linkedin.com/company/mmc-ventures,36,32,,,,"1,117",-0.4,-0.7,3.5
Jose Marin,https://www.crunchbase.com/person/jose-marin-2,55,5,"Madrid, Madrid, Spain",Angel,"Jose Marin started his professional career as a consultant at The Boston Consulting Group. In 1999 he co-founded DeRemate.com (eBay model for Latin America). The company raised 75 M USD, did a partial cash-out sale to Terra and later merged with Mercado Libre that went Public in Nasdaq . Currently Jose is co-Founder and co-CEO of IG Expansion. IG takes successful internet business models into emerging markets (main focus Brazil).  IG builds one project per year and will not build more than 6 (investing the first 3 to 5 M USD per project). 5 of the 6 are already operating being Viajanet (Expedia for Latam) its biggest success. Jose is also founder of Serendipity Investments, company that has invested in >70 start-ups. Before this, Jose invested in projects such as Bazee (auctions sold to eBay in 2005) and eDreams (European Travel site sold to TA Associates in 2006) obtaining top tier returns. Jose is a Mechanical and Electrical Engineer and holds an MBA and an MA in Internat",,,,https://www.linkedin.com/in/jose-marin-093121,51,,,,,"3,555",0.3,0.4,-0.3
Gabriel Venture Partners,https://www.crunchbase.com/organization/gabriel-venture-partners,54,16,"San Mateo, California, United States",Venture Capital,"Gabriel Venture Partners is a venture capital firm that focuses on emerging of communications, networking and information technology",http://www.gabrielvp.com,,,,34,20,,,,"7,358",0.0,0.4,0.8
Almi Invest,https://www.crunchbase.com/organization/almi-invest,53,1,"Stockholm, Stockholms Lan, Sweden",Venture Capital,Almi Invest is a venture capital company that invests in Swedish companies with scalable business models.,http://www.almi.se/Almi-Invest/,http://twitter.com/Almiinvest,https://www.facebook.com/almiforetagspartner,http://www.linkedin.com/company/almi-f-retagspartner,45,13,,,,"1,728",-0.7,-1.8,0.9
CapDecisif Management,https://www.crunchbase.com/organization/capdecisif-management,53,6,"Paris, Ile-de-France, France",Venture Capital,Cap Décisif Management SAS is a venture capital firm specializing in incubation and seed investments.,http://www.capdecisif.com,http://twitter.com/CapDecisif_Mgt,,,41,2,,,,"3,021",0.2,-0.7,-0.9
Google,https://www.crunchbase.com/organization/google,51,16,"Mountain View, California, United States",,Google is a multinational corporation that is specialized in internet-related services and products.,http://www.google.com/,https://twitter.com/google,https://www.facebook.com/Google,http://www.linkedin.com/company/google,43,17,,,,16,-0.4,-0.8,0.0
Global Brain Corporation,https://www.crunchbase.com/organization/global-brain-corporation,51,5,"Tokyo, Tokyo, Japan",Venture Capital,Global Brain Corporation is a Japanese venture capital firm specialized in early-stage investments in the United States and Asia.,http://globalbrains.co.jp/english,,,,43,9,,,,"1,862",-0.2,1.8,3.6
Axel Springer Plug and Play Accelerator,https://www.crunchbase.com/organization/axel-springer-plug-and-play-accelerator,51,,"Berlin, Berlin, Germany",Accelerator,Axel Springer Plug & Play is a Berlin-based pre-seed startup accelerator.,http://www.axelspringerplugandplay.com,http://twitter.com/as_pnp,http://www.facebook.com/AxelSpringerPlugAndPlay,https://www.linkedin.com/company/5046044,41,,On Site,06/19/2016,12 months,"3,876",0.1,-0.3,-1.0
Newfund,https://www.crunchbase.com/organization/newfund-management,51,4,"Paris, Ile-de-France, France",Venture Capital,"Newfund is an early-stage cross-border entrepreneurial venture capital firm with its main office in Paris, France.",http://www.newfund-capital.com,http://twitter.com/newfund,http://www.facebook.com/pages/Newfund/115015278540824,http://www.linkedin.com/company/324988,49,6,,,,"4,576",0.0,-0.5,-3.1
Source Code Capital,https://www.crunchbase.com/organization/source-code-capital,51,1,"Changyang, Beijing, China",Venture Capital,Source Code Capital is a Chinese angel and venture investment firm focused on early-stage startups in the technology sector.,http://www.sourcecodecap.com/en,,,,39,5,,,,"4,781",-0.4,-1.1,-1.5
Samurai Incubate,https://www.crunchbase.com/organization/samurai-incubate,51,2,"Tokyo, Tokyo, Japan",Incubator,"Samurai Incubate invests in early-stage start-ups and provides support in management, marketing, sales and HR.",http://www.samurai-incubate.asia,https://twitter.com/user/Samurai_Island,http://www.facebook.com/SamuraiIncubateInc,https://www.linkedin.com/company/2443066?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2443066%2Cidx%3A2-2-3%2CtarId%3A1473152301834%2Ctas%3Asamurai%20in,51,,,,,"5,854",0.4,0.4,0.1
Summer@Highland,https://www.crunchbase.com/organization/summer-highland,51,10,"Boston, Massachusetts, United States",Accelerator,"Summer@Highland provides mentoring, office space, and resources for student-founded start-ups.",http://summer.hcp.com,http://twitter.com/HighlandSummer/media,https://www.facebook.com/highlandcapitalpartners,,51,,,03/29/2016,,"6,144",0.1,1.1,0.7
Joe Lonsdale,https://www.crunchbase.com/person/joe-lonsdale,50,7,"San Francisco, California, United States",Angel,"Joe Lonsdale is a founding partner at 8VC, a San Francisco-based venture capital fund. He serves on several boards including Addepar, OpenGov, Oscar, Illumio, Radius, Hyperloop and Wish. Most recently, he was a founding partner at Formation 8. Before that, he founded Addepar, a leading wealth management technology platform, Palantir, a multi-billion dollar global software company best known for its work in defense and finance, and OpenGov. Previously, Joe was an early executive at Peter Thiel’s Clarium Capital, which they grew into a large global macro hedge fund. He also worked with the financial arm of PayPal while he was at Stanford. Joe received a B.S. in Computer Science from Stanford. He often lectures and writes on entrepreneurship and technology.",,http://twitter.com/JTLonsdale,http://www.facebook.com/joe.lonsdale.77,http://www.linkedin.com/pub/joe-lonsdale/0/5a2/669,38,8,,,,"1,096",-0.1,0.7,-0.7
Triangle Peak Partners,https://www.crunchbase.com/organization/triangle-peak-partners,50,13,"Carmel Valley, California, United States",Venture Capital,Triangle Peak Partners conducts private investments in companies where it can work with management and help create value.,http://www.trianglepeakpartners.com,https://twitter.com/trianglepeak,,,37,14,,,,"3,508",0.1,-0.4,-1.5
StartupYard,https://www.crunchbase.com/organization/startupyard,50,3,"Praha, Hlavni mesto Praha, Czech Republic",Accelerator,Startup Yard is a seed accelerator that supports suitable technology startups to achieve success with the help of the right resources.,http://startupyard.com/,http://twitter.com/startupyard,http://www.facebook.com/startupyard,http://www.linkedin.com/company/startupyard,45,3,On Site,09/30/2016,15 weeks,"6,603",0.2,-0.2,-0.9
